Position Id,Total Successful Passes All,Total Unsuccessful Passes All,Total Successful Passes Excl Crosses Corners,Successful Passes Own Half,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Unsuccessful Passes Opposition Half,Successful Passes Defensive third,Unsuccessful Passes Defensive third,Successful Passes Middle third,Successful Passes Final third,Successful Short Passes,Successful Long Passes,Successful Dribbles,Successful Lay-Offs,Touches,Duels won,Duels lost,Aerial Duels won,Aerial Duels lost,Ground Duels won,Ground Duels lost,Tackles Won,Tackles Lost,Total Clearances,Interceptions,Recoveries,Total Fouls Conceded,Total Fouls Won,Saves Made,Turnovers,Dispossessed,Pass Forward,Pass Backward,Touches open play final third,Touches open play opp box,Touches open play opp six yards
4,48.35820896,14.7761194,47.01492537,14.7761194,0,32.23880597,8.059701493,5.373134328,0,22.8358209,18.80597015,34.92537313,12.08955224,0,1.343283582,69.85074627,6.71641791,4.029850746,2.686567164,0,4.029850746,4.029850746,1.343283582,1.343283582,1.343283582,0,4.029850746,1.343283582,1.343283582,0,0,0,13.43283582,4.029850746,22.8358209,0,0
4,53,24,51,15,0,36,16,4,0,27,20,47,4,2,2,88,9,6,1,2,8,4,2,0,0,1,8,3,4,0,0,0,37,4,14,1,0
4,31,11,31,14,0,17,6,8,0,17,6,28,3,1,1,56,9,2,1,0,8,2,3,1,1,4,17,0,3,0,0,1,8,10,11,0,1
4,52,14,50,26,0,24,12,9,0,27,14,48,2,1,1,86,9,3,1,0,8,3,5,0,1,2,19,1,2,0,0,2,20,5,14,0,0
4,43,20,43,17,2,26,10,9,2,16,18,38,5,1,1,84,11,7,2,1,9,6,3,3,2,2,9,0,2,0,0,2,20,9,16,0,0
4,59,24,58,32,1,26,13,13,0,31,14,52,6,1,2,102,9,11,6,2,3,9,1,0,3,1,19,3,1,0,0,4,29,14,17,0,0
4,60,24,54,30,0,24,24,12,0,42,0,48,6,0,6,108,42,0,18,0,24,0,18,0,0,6,24,0,6,0,0,0,24,12,6,0,0
4,29,11,27,12,3,15,5,5,2,11,11,23,4,0,0,50,5,7,3,1,2,6,0,0,4,0,9,2,2,0,0,0,16,4,8,1,0
4,49,27,45,27,0,18,17,8,0,26,11,41,4,2,2,84,6,6,0,1,6,5,1,2,0,0,14,3,1,0,0,1,23,11,16,0,0
4,22.5,19.28571429,22.5,12.85714286,0,9.642857143,19.28571429,9.642857143,0,9.642857143,3.214285714,22.5,0,0,0,67.5,6.428571429,19.28571429,3.214285714,0,3.214285714,19.28571429,3.214285714,0,0,0,6.428571429,6.428571429,0,0,0,9.642857143,19.28571429,0,6.428571429,0,0
4,48,15,45,27,4,18,7,13,0,21,11,41,4,0,7,76,2,4,1,1,1,3,0,1,1,2,7,2,0,0,0,1,24,14,13,0,0
4,32,13,31,18,3,13,5,9,1,14,8,25,6,2,1,54,4,2,1,0,3,2,0,0,2,0,5,1,1,0,0,1,15,8,12,0,0
4,65.2173913,15.65217391,63.91304348,28.69565217,0,35.2173913,9.130434783,6.52173913,0,39.13043478,18.26086957,50.86956522,13.04347826,0,5.217391304,92.60869565,2.608695652,2.608695652,1.304347826,1.304347826,1.304347826,1.304347826,0,0,1.304347826,0,5.217391304,1.304347826,1.304347826,0,0,0,16.95652174,10.43478261,19.56521739,0,0
4,5,0,5,5,0,0,0,0,0,5,0,5,0,0,0,15,0,10,0,0,0,10,0,0,0,0,0,5,0,0,0,5,5,0,5,0,0
