4,39,2,0.240418224
2,21,8,0.564618151
2,38.57142857,3.214285714,0.351152056
2,53,4,0.269376441
4,30,3.333333333,0.346810804
4,27,4,0.8783192
2,38.25,2.25,0.742482934
2,25,4,0.903532209
4,13.2,2.4,0.593383921
2,24,5,0.024559545
4,42,2,0.682717759
6,19,5,0.100534369
4,32,7,0.257720824
1,17,2,0.370896851
4,38.57142857,12.85714286,0.451610777
2,16,2,0.528528421
6,38.02816901,6.338028169,0.684738079
6,14.34782609,2.608695652,0.696395049
4,67.5,11.25,0.443561991
6,14,6,0.482102133
2,19,1,0.2681392
4,66,12,0.303842515
4,48.57142857,5.714285714,0.509806583
6,12,1,0.66964044
6,13.33333333,10,0.561092863
2,54,2,0.080156601
4,41.02941176,2.647058824,0.892266491
4,24.54545455,4.090909091,0.829158298
4,36,1,0.495895697
2,17,3,0.658706587
4,13,8,0.805632067
2,47,3,0.763916305
2,27,5,0.264346806
4,38,6,0.04577593
6,30,5.454545455,0.016744469
4,22.5,14.0625,0.293890585
4,43.2,14.4,0.033011287
4,19.28571429,6.428571429,0.762281741
6,45,8.333333333,0.935676108
4,12.16216216,2.432432432,0.565164567
2,27,8,0.13542687
4,54,2,0.526136458
4,32,3,0.42989385
2,56,1,0.774637832
4,40.56338028,2.535211268,0.37590232
1,20,1,0.002685503
6,25.71428571,1.607142857,0.593073097
2,42,3,0.070880719
2,49,7,0.628001674
2,9,2,0.921344046
2,12,2,0.06640991
4,18.43373494,4.337349398,0.510944545
1,20,1,0.937350672
4,32.06896552,5.172413793,0.687910505
4,26,2,0.446448831
4,32,4,0.791458482
4,21.23595506,2.02247191,0.777050115
2,48,3,0.963104703
6,16.47887324,7.605633803,0.60553822
2,36,8,0.920708734
1,24,1,0.446395044
6,45,7,0.373323238
4,111.1764706,21.17647059,0.77094768
4,37.5,11.25,0.548833227
4,22.24719101,8.08988764,0.223110664
6,39.13043478,11.73913043,0.398049574
6,16,2,0.598709859
6,18.8372093,5.23255814,0.599938488
4,21,7,0.417167998
2,24,3,0.378188827
2,16.875,4.5,0.466651012
2,26,5,0.719223151
2,23,7,0.503194586
2,15.88235294,7.941176471,0.340095292
4,65.76923077,3.461538462,0.898395336
4,93,3,0.380077384
6,30.375,4.5,0.595299965
2,26,4,0.156439006
2,8,7,0.424385068
2,56,8,0.54891374
4,180,18,0.306673416
2,41,3,0.17621211
4,26,2,0.681813762
2,22,3,0.621422429
