4,52.94117647,5.294117647,52.94117647,10.58823529,42.35294118,5.294117647,0,37.05882353,15.88235294,52.94117647,90,15.88235294,26.47058824,21.17647059,21.17647059,5.294117647,10.58823529,5.294117647
4,77.14285714,21.42857143,77.14285714,21.42857143,55.71428571,21.42857143,4.285714286,51.42857143,21.42857143,77.14285714,124.2857143,12.85714286,12.85714286,8.571428571,42.85714286,4.285714286,47.14285714,4.285714286
4,48.21428571,0,48.21428571,22.5,25.71428571,0,3.214285714,38.57142857,6.428571429,38.57142857,70.71428571,9.642857143,6.428571429,3.214285714,16.07142857,6.428571429,12.85714286,0
4,64.8,10.8,64.8,14.4,50.4,10.8,3.6,36,25.2,64.8,93.6,3.6,7.2,3.6,21.6,0,28.8,3.6
4,47.36842105,17.36842105,47.36842105,20.52631579,26.84210526,9.473684211,7.894736842,26.84210526,12.63157895,37.89473684,83.68421053,4.736842105,7.894736842,3.157894737,9.473684211,15.78947368,25.26315789,4.736842105
4,45,18,42,25,17,9,10,22,10,40,77,8,9,2,21,6,15,1
4,45.65217391,24.7826087,45.65217391,24.7826087,20.86956522,13.04347826,10.43478261,22.17391304,13.04347826,43.04347826,87.39130435,13.04347826,10.43478261,2.608695652,20.86956522,13.04347826,18.26086957,0
4,65,20,61,18,43,11,12,26,23,56,100,4,7,2,28,5,22,0
4,51,21,49,23,26,11,10,23,16,42,86,8,8,1,21,9,17,3
4,52.22222222,13.33333333,48.88888889,24.44444444,24.44444444,7.777777778,11.11111111,24.44444444,13.33333333,44.44444444,84.44444444,4.444444444,5.555555556,2.222222222,21.11111111,7.777777778,12.22222222,2.222222222
4,62,13,60,21,39,9,7,26,27,52,92,9,3,1,21,7,24,2
4,64,17,64,28,36,7,8,30,26,52,91,6,7,1,16,13,21,2
4,36,14,34,10,24,8,6,12,16,32,58,6,6,0,24,4,14,0
4,41,10,41,28,13,6,14,20,7,32,70,5,7,2,11,9,8,1
4,32.03389831,21.3559322,32.03389831,16.77966102,15.25423729,13.72881356,6.101694915,13.72881356,12.20338983,28.98305085,64.06779661,4.576271186,4.576271186,3.050847458,16.77966102,7.627118644,19.83050847,1.525423729
4,35,18,35,19,16,7,11,15,9,32,70,7,7,2,26,10,7,0
4,47,6,46,22,24,2,7,23,16,41,71,10,4,2,19,5,18,2
4,30.46153846,23.53846154,30.46153846,12.46153846,18,16.61538462,5.538461538,12.46153846,12.46153846,29.07692308,66.46153846,6.923076923,8.307692308,1.384615385,31.84615385,6.923076923,13.84615385,2.769230769
4,46,19,43,22,21,10,12,19,12,32,84,6,8,2,18,11,19,1
4,48.35820896,14.7761194,47.01492537,14.7761194,32.23880597,8.059701493,5.373134328,22.8358209,18.80597015,34.92537313,69.85074627,6.71641791,4.029850746,0,13.43283582,4.029850746,22.8358209,0
